seq,start_fpsr,start_mpsr,year,original_air_date,end_fpsr,season,title,location,scheduled_duration,end_mpsr,continent,name,age,duration,military,weight_loss,build,gender
1,5.8,7.6,2013,2013-06-23,7.8,1,The Jungle Curse ,Costa Rica,21,8.4,North America,Shane Lewis ,40.0,21.0,,,,male
1,5.8,7.6,2013,2013-06-23,7.8,1,The Jungle Curse ,Costa Rica,21,8.4,North America,Kim Shelton ,22.0,21.0,,,,female
2,7.5,7.3,2013,2013-06-30,8.1,1,Terror in Tanzania ,Tanzania,21,8.2,Africa,EJ Snyder ,46.0,21.0,,,,male
2,7.5,7.3,2013,2013-06-30,8.1,1,Terror in Tanzania ,Tanzania,21,8.2,Africa,Kellie Nightlinger ,38.0,21.0,,,,female
3,8.0,6.9,2013,2013-07-07,8.4,1,Island From Hell ,Maldives,21,7.2,Asia,Jonathan Klay ,36.0,21.0,,,,male
3,8.0,6.9,2013,2013-07-07,8.4,1,Island From Hell ,Maldives,21,7.2,Asia,Alison Teal ,29.0,21.0,,,,female
4,7.9,6.9,2013,2013-07-14,7.2,1,Punishment in Panama ,Panama,21,7.3,North America,Clint Jivoin ,24.0,21.0,,,,male
4,7.9,6.9,2013,2013-07-14,7.2,1,Punishment in Panama ,Panama,21,7.3,North America,Laura Zerra ,27.0,21.0,,,,female
5,5.5,7.1,2013,2013-07-21,5.0,1,Breaking Borneo ,Borneo,21,6.1,Asia,Puma Cabra ,38.0,9.0,,,,male
5,5.5,7.1,2013,2013-07-21,5.0,1,Breaking Borneo ,Borneo,21,6.1,Asia,Julie Wright ,30.0,18.0,,,,female
6,6.3,8.1,2013,2013-07-28,7.7,1,Beware the Bayou ,Louisiana,21,8.9,North America,Billy Berger ,39.0,21.0,,,,male
6,6.3,8.1,2013,2013-07-28,7.7,1,Beware the Bayou ,Louisiana,21,8.9,North America,Ky Furneaux ,39.0,21.0,,,,female
7,7.8,7.1,2013,2013-12-08,8.0,1,Double Jeopardy ,Panama,21,7.9,North America,Russell Sage ,31.0,21.0,,,,male
7,7.8,7.1,2013,2013-12-08,8.0,1,Double Jeopardy ,Panama,21,7.9,North America,Manu Toigo ,45.0,21.0,,,,female
8,6.5,8.2,2013,2013-12-08,3.4,1,Double Jeopardy ,Panama,21,8.8,North America,Cassie DePecol ,25.0,21.0,,,,female
8,6.5,8.2,2013,2013-12-08,3.4,1,Double Jeopardy ,Panama,21,8.8,North America,Forrest Galante ,25.0,21.0,,,,male
9,8.2,8.2,2014,2014-03-16,9.1,2,Man Vs. Amazon ,Amazon,21,9.1,South America,Laura Zerra ,27.0,21.0,,,,female
9,6.7,7.0,2014,2014-03-16,4.3,2,Man Vs. Amazon ,Amazon,21,4.4,South America,Amanda Kaye ,33.0,5.0,,,,female
9,8.2,8.2,2014,2014-03-16,9.1,2,Man Vs. Amazon ,Amazon,21,9.1,South America,EJ Snyder ,46.0,21.0,,,,male
9,6.7,7.0,2014,2014-03-16,4.3,2,Man Vs. Amazon ,Amazon,21,4.4,South America,Tyler Steinle ,28.0,5.0,,,,male
10,7.2,7.0,2014,2014-03-23,7.4,2,Damned in Africa ,Madagascar,21,7.3,Africa,Eva Rupert ,34.0,21.0,,,,female
10,7.2,7.0,2014,2014-03-23,7.4,2,Damned in Africa ,Madagascar,21,7.3,Africa,Jeff Zausch ,26.0,21.0,,,,male
11,6.1,6.3,2014,2014-03-30,7.0,2,Paradise Lost ,Fiji Islands,21,4.5,Oceania,Alana Barfield ,36.0,21.0,,,,female
11,6.1,6.3,2014,2014-03-30,7.0,2,Paradise Lost ,Fiji Islands,21,4.5,Oceania,Keith Busch ,46.0,11.0,,,,male
12,6.9,7.2,2014,2014-04-06,7.1,2,Mayan Misery ,Belize,21,7.4,North America,Shannon Thomas ,38.0,21.0,,,,female
12,6.9,7.2,2014,2014-04-06,7.1,2,Mayan Misery ,Belize,21,7.4,North America,Leonard Cassidy ,34.0,21.0,,,,male
13,6.8,7.1,2014,2014-04-13,7.0,2,The Pain Forest ,Malaysia,21,6.9,Asia,Samantha Pearson ,38.0,21.0,,,,female
13,6.8,7.1,2014,2014-04-13,7.0,2,The Pain Forest ,Malaysia,21,6.9,Asia,Fernando Calderon ,33.0,21.0,,,,male
14,6.7,8.2,2014,2014-04-20,7.5,2,Meltdown in Bolivia ,Bolivia,21,7.1,South America,Vincent Pinto ,49.0,16.0,,,,male
14,6.7,8.2,2014,2014-04-20,7.5,2,Meltdown in Bolivia ,Bolivia,21,7.1,South America,Sabrina Mergenthaler ,30.0,21.0,,,,female
15,6.7,8.1,2014,2014-06-29,7.1,3,Primal Fear,Namibia,21,8.3,Africa,Lindsey Leitelt ,30.0,21.0,,,,female
15,6.7,8.1,2014,2014-06-29,7.1,3,Primal Fear,Namibia,21,8.3,Africa,Luke McLaughlin ,28.0,21.0,,,,male
16,7.4,7.6,2014,2014-07-06,8.1,3,Blood in the Water,Andros Islands,21,7.8,North America,Dani Julien ,27.0,21.0,,,,female
16,7.4,7.6,2014,2014-07-06,8.1,3,Blood in the Water,Andros Islands,21,7.8,North America,Justin Bullard ,29.0,21.0,,,,male
17,6.6,6.4,2014,2014-07-13,5.4,3,Hearts of Darkness,Cambodia,21,4.8,Asia,Carrie Booze ,25.0,21.0,,,,female
