seq,season,year,title,location,continent,original_air_date,scheduled_duration,female,female_age,start_fpsr,end_fpsr,female_duration,female_military,female_weight_loss,male,male_age,start_mpsr,end_mpsr,male_duration,male_military,male_weight_loss,male_build
1,1,2013,The Jungle Curse ,Costa Rica,North America,2013-06-23,21,Kim Shelton ,22,5.8,7.8,21.0,,,Shane Lewis ,40,7.6,8.4,21,,,
2,1,2013,Terror in Tanzania ,Tanzania,Africa,2013-06-30,21,Kellie Nightlinger ,38,7.5,8.1,21.0,,,EJ Snyder ,46,7.3,8.2,21,,,
3,1,2013,Island From Hell ,Maldives,Asia,2013-07-07,21,Alison Teal ,29,8.0,8.4,21.0,,,Jonathan Klay ,36,6.9,7.2,21,,,
4,1,2013,Punishment in Panama ,Panama,North America,2013-07-14,21,Laura Zerra ,27,7.9,7.2,21.0,,,Clint Jivoin ,24,6.9,7.3,21,,,
5,1,2013,Breaking Borneo ,Borneo,Asia,2013-07-21,21,Julie Wright ,30,5.5,5.0,18.0,,,Puma Cabra ,38,7.1,6.1,9,,,
6,1,2013,Beware the Bayou ,Louisiana,North America,2013-07-28,21,Ky Furneaux ,39,6.3,7.7,21.0,,,Billy Berger ,39,8.1,8.9,21,,,
7,1,2013,Double Jeopardy ,Panama,North America,2013-12-08,21,Manu Toigo ,45,7.8,8.0,21.0,,,Russell Sage ,31,7.1,7.9,21,,,
8,1,2013,Double Jeopardy ,Panama,North America,2013-12-08,21,Cassie DePecol ,25,6.5,3.4,21.0,,,Forrest Galante ,25,8.2,8.8,21,,,
9,2,2014,Man Vs. Amazon ,Amazon,South America,2014-03-16,21,Amanda Kaye ,33,6.7,4.3,5.0,,,Tyler Steinle ,28,7.0,4.4,5,,,
9,2,2014,Man Vs. Amazon ,Amazon,South America,2014-03-16,21,Laura Zerra ,27,8.2,9.1,21.0,,,EJ Snyder ,46,8.2,9.1,21,,,
10,2,2014,Damned in Africa ,Madagascar,Africa,2014-03-23,21,Eva Rupert ,34,7.2,7.4,21.0,,,Jeff Zausch ,26,7.0,7.3,21,,,
11,2,2014,Paradise Lost ,Fiji Islands,Oceania,2014-03-30,21,Alana Barfield ,36,6.1,7.0,21.0,,,Keith Busch ,46,6.3,4.5,11,,,
12,2,2014,Mayan Misery ,Belize,North America,2014-04-06,21,Shannon Thomas ,38,6.9,7.1,21.0,,,Leonard Cassidy ,34,7.2,7.4,21,,,
13,2,2014,The Pain Forest ,Malaysia,Asia,2014-04-13,21,Samantha Pearson ,38,6.8,7.0,21.0,,,Fernando Calderon ,33,7.1,6.9,21,,,
14,2,2014,Meltdown in Bolivia ,Bolivia,South America,2014-04-20,21,Sabrina Mergenthaler ,30,6.7,7.5,21.0,,,Vincent Pinto ,49,8.2,7.1,16,,,
15,3,2014,Primal Fear,Namibia,Africa,2014-06-29,21,Lindsey Leitelt ,30,6.7,7.1,21.0,,,Luke McLaughlin ,28,8.1,8.3,21,,,
16,3,2014,Blood in the Water,Andros Islands,North America,2014-07-06,21,Dani Julien ,27,7.4,8.1,21.0,,,Justin Bullard ,29,7.6,7.8,21,,,
17,3,2014,Hearts of Darkness,Cambodia,Asia,2014-07-13,21,Carrie Booze ,25,6.6,5.4,21.0,,,Tom Touw ,40,6.4,4.8,21,,,
18,3,2014,Jungle Love,Nicaragua,North America,2014-07-20,21,Jaclyn McCaffrey ,25,7.1,7.5,21.0,,,Adam Young ,29,7.3,7.8,21,,,
19,3,2014,Argentina Impossible,Argentina,South America,2014-07-27,21,Lisa Coray ,34,6.8,7.4,21.0,,,Tom McElroy ,37,8.4,7.9,21,,,
20,3,2014,Playing With Fire,Dominica,North America,2014-08-03,21,Corinne Kohlen ,32,6.1,4.9,13.0,,,Chris Fischer ,39,7.1,7.9,21,,,
21,3,2014,Himalayan Hell,Himalayas,Asia,2014-08-17,21,Phaedra Brothers,27,6.2,6.9,21.0,,,Hakim Isler ,36,6.8,7.4,21,,,
22,3,2014,Nicaragua Nightmare ,Nicaragua,North America,2014-09-07,21,Amanda Leigh ,33,5.8,6.3,21.0,,,Joshua Bell ,28,6.1,4.3,5,,,
23,3,2014,Botswana Breakdown ,Botswana,Africa,2014-09-14,21,Ashley Burns ,25,4.7,3.7,3.0,,,Michael Jefferson ,32,5.9,5.7,12,,,
24,3,2014,Dunes of Despair ,Brazil,South America,2014-09-21,21,Honora Bowen ,29,7.6,7.2,16.0,,,Matt Stutzel ,24,7.1,7.7,21,,,
25,4,2015,Alligator Alley ,Florida,North America,2015-04-19,21,Amber Hargrove ,31,7.8,7.4,16.0,,,Ryan Holt ,29,7.9,8.3,21,,,
26,4,2015,Rumble in the Jungle ,Mexico,North America,2015-04-26,21,Christina McQueen ,38,6.4,6.7,21.0,,,Steve Hansen ,33,7.2,7.9,21,,,
27,4,2015,Mayan Sacrifice ,Mexico,North America,2015-05-03,21,Alyssa Ballesterro ,27,7.1,7.8,21.0,,,Luke Pytlik ,35,6.8,7.2,21,,,
28,4,2015,Edge of Madness ,Guyana,South America,2015-05-10,21,Afften DeShazer ,27,6.0,4.4,7.0,,,Zack Buck ,26,6.8,8.1,21,,,
29,4,2015,Fire on the Mountain ,Himalayas,Asia,2015-05-17,21,Jennifer Cochran ,31,6.4,6.9,21.0,,,Trenton Harper ,36,7.9,8.2,21,,,
30,4,2015,Lord of the Rats ,Thailand,Asia,2015-05-31,21,Angela Mellinger ,36,6.1,6.3,21.0,,,Darrin Reay ,33,7.8,8.2,21,,,
31,4,2015,Colombian Conflict ,Colombia,South America,2015-06-07,21,Dani Beau ,25,6.9,7.5,21.0,,,Charlie Frattini ,52,7.2,7.5,21,,,
32,4,2015,Garden of Evil ,Mexico,North America,2015-06-21,21,Robin Barber ,33,6.9,6.1,14.0,,,Brandon Dix ,28,6.8,6.1,14,,,
33,4,2015,Redemption Road ,Guyana,South America,2015-06-28,21,Amanda Kaye ,33,4.3,6.8,21.0,,,Jason Szabo ,31,6.2,7.1,21,,,
34,4,2015,Surthrive ,Guyana,South America,2015-07-19,21,Debbie Harris ,32,6.2,6.9,21.0,,,Bo Stuart ,44,7.3,8.3,21,,,
35,4,2015,Easier said than done ,Nicaragua,North America,2015-07-26,21,Kristin Young ,32,3.6,4.4,21.0,,,Paolo DiGirolamo ,26,4.2,5.1,21,,,
36,5,2015,Forsaken ,Panama,North America,2015-10-04,21,Kim Kelly ,23,6.2,7.0,21.0,,,Gary Underhill ,52,7.1,5.3,4,,,
37,5,2015,Fear The Unknown,Belize,North America,2015-10-11,21,Annie Foley ,38,6.1,4.5,4.0,,,Trenton Nelson ,44,7.4,8.2,21,,,
38,5,2015,The Darkest Hour,Namibia,Africa,2015-10-18,21,Andrea Lopez ,29,6.6,7.5,21.0,,,Joe Brandl ,55,7.1,8.0,21,,,
39,5,2015,The Swarm,Panama,North America,2015-10-25,21,Tara Skubella ,41,6.8,7.6,21.0,,,Dustin Hobbs ,30,6.1,6.1,21,,,
40,5,2015,All or Nothing,Philippines,Asia,2015-11-01,21,Cassidy Flynn ,26,6.1,4.9,13.0,,,Jeremy McCaa ,38,7.3,6.1,13,,,
41,6,2016,King of the Forest,Alabama,North America,2016-03-13,21,Chalese Meyer ,26,6.3,6.7,21.0,,,Steven Hall Jr. ,32,8.0,8.6,21,,,
42,6,2016,Frozen in Fear,Canada,North America,2016-03-20,21,Cassie Turner ,23,6.7,7.8,21.0,,,Greg Wallis ,35,7.2,8.0,21,,,
43,6,2016,Rise Above,Amazon,South America,2016-03-27,21,Jamie Little,36,6.0,6.7,21.0,,,Jake Nodar,36,7.3,8.0,21,,,
44,6,2016,From the Ashes,Croatia,Europe,2016-04-03,21,Stacy Osorio,35,6.2,6.2,8.0,,,Lee Trew,33,7.6,8.4,21,,,
45,6,2016,All Fall Down,Belize,North America,2016-04-10,21,Kacie Cleveland,29,4.8,6.4,21.0,,,Aaron Phillips,37,6.6,7.4,21,,,
46,6,2016,Contamination,Philippines,Asia,2016-04-17,21,Karen Coffee,51,6.3,7.2,21.0,,,Matt Alexander,33,6.6,7.2,21,,,
